timestamp,android.sensor.accelerometer_value_0,android.sensor.accelerometer_value_1,android.sensor.accelerometer_value_2,android.sensor.gyroscope_value_0,android.sensor.gyroscope_value_1,android.sensor.gyroscope_value_2,android.sensor.magnetic_field_value_0,android.sensor.magnetic_field_value_1,android.sensor.magnetic_field_value_2,android.sensor.gravity_value_0,android.sensor.gravity_value_1,android.sensor.gravity_value_2,android.sensor.linear_acceleration_value_0,android.sensor.linear_acceleration_value_1,android.sensor.linear_acceleration_value_2,android.sensor.rotation_vector_value_0,android.sensor.rotation_vector_value_1,android.sensor.rotation_vector_value_2,android.sensor.rotation_vector_value_3,android.sensor.rotation_vector_value_4,norm,falling
2025-05-26T21:58:00.290811,0.846461,1.3351951,10.442278,-0.37736964,0.3639207,-1.7714003,10.8946,14.603399,12.2,6.13018,-0.29209533,7.648919,-0.74232626,0.46971458,-0.024328232,0.0055071567,-0.33163735,0.06054025,0.94144636,-1.0,26.35692222179784,0
2025-05-26T21:58:00.431878,-0.42711884,1.0857433,11.452647,0.27150908,0.39068544,-0.2821617,8.6498,15.225599,12.5904,4.4044166,1.1169628,8.690449,-2.3878946,-0.19422662,0.5900488,0.04236279,-0.23476762,-0.06776851,0.96876055,-1.0,26.499901027324498,0
2025-05-26T21:58:00.622423,-1.2269198,-0.4031906,9.0347,0.2143843,0.4250402,0.78909403,7.5518,15.750199,12.6026,2.7994246,1.743647,9.235437,-2.709916,-0.3554139,0.3249359,0.08327555,-0.14895949,-0.046583563,0.98422873,-1.0,25.569765217545015,0
2025-05-26T21:58:00.850149,-2.2851455,-0.39840496,10.035499,-0.26551697,0.49175233,1.7522255,7.2956,15.921,12.6636,1.737845,1.2853602,9.565465,-2.1719508,-1.8521559,0.75776863,0.07152309,-0.08474338,0.06372826,0.99178714,-1.0,26.14264136629604,0
2025-05-26T21:58:01.085731,-1.7964116,-0.35533416,9.719048,0.7869635,-1.4211949,2.9450545,8.3326,15.4939995,12.2976,0.5209171,0.21461385,9.790453,-2.7168632,-0.29122204,-0.057735443,0.01742619,-0.022850465,0.2576762,0.9658039,-1.0,25.990244045598878,0
2025-05-26T21:58:01.299872,5.0123653,-2.4861426,6.142376,1.9631478,-4.2047286,3.6999269,9.8088,13.688399,10.2602,3.2243438,0.49696404,9.248082,-2.2564926,-0.98380315,-0.5817108,0.1107131,-0.12736426,0.52577585,0.833715,-1.0,24.447526976778743,0
2025-05-26T21:58:01.638299,7.564909,-4.9088755,0.20458634,-0.5583313,0.02476738,0.50946236,9.333,7.8445997,4.3919997,9.012076,-3.7658308,0.87828815,3.2524567,0.22124481,-1.0332649,0.48990285,-0.46391267,0.6901667,0.26162973,-1.0,18.966718273908956,0
2025-05-26T21:58:01.841468,10.773086,-5.88096,3.0299118,-0.5070655,0.473776,0.31598383,9.6746,5.002,0.97599995,8.579212,-4.7382927,0.34069481,-0.052702904,-0.17973042,-0.5650467,0.450613,-0.5287507,0.6730732,0.25365943,-1.0,19.455129287144075,0
2025-05-26T21:58:02.062245,5.2905307,-8.457432,2.8289146,-0.05659213,1.9745994,0.35260227,11.0288,2.0496,-2.379,8.2415695,-5.2849355,0.56246823,1.4678116,-0.47579336,-0.50644904,0.39133406,-0.5640742,0.67137396,0.27916822,-1.0,18.543188930509075,0
2025-05-26T21:58:02.300606,8.244471,-4.5116673,-10.411171,0.88190514,0.6808366,0.32956594,12.4928,-1.403,-5.1605997,7.06581,-5.900199,3.3811772,0.920239,-1.082016,-1.857444,0.2317164,-0.5233693,0.7353929,0.36275238,-1.0,22.053960176804274,0
